image_name,label,original_sample
biden-to-linus_0.png,FAKE,biden-to-linus
biden-to-linus_1.png,FAKE,biden-to-linus
biden-to-linus_2.png,FAKE,biden-to-linus
biden-to-linus_3.png,FAKE,biden-to-linus
biden-to-linus_4.png,FAKE,biden-to-linus
biden-to-linus_5.png,FAKE,biden-to-linus
biden-to-linus_6.png,FAKE,biden-to-linus
biden-to-linus_7.png,FAKE,biden-to-linus
biden-to-linus_8.png,FAKE,biden-to-linus
biden-to-linus_9.png,FAKE,biden-to-linus
biden-to-linus_10.png,FAKE,biden-to-linus
biden-to-linus_11.png,FAKE,biden-to-linus
biden-to-linus_12.png,FAKE,biden-to-linus
biden-to-linus_13.png,FAKE,biden-to-linus
biden-to-linus_14.png,FAKE,biden-to-linus
biden-to-linus_15.png,FAKE,biden-to-linus
biden-to-linus_16.png,FAKE,biden-to-linus
biden-to-linus_17.png,FAKE,biden-to-linus
biden-to-linus_18.png,FAKE,biden-to-linus
biden-to-linus_19.png,FAKE,biden-to-linus
biden-to-linus_20.png,FAKE,biden-to-linus
biden-to-linus_21.png,FAKE,biden-to-linus
biden-to-linus_22.png,FAKE,biden-to-linus
biden-to-linus_23.png,FAKE,biden-to-linus
biden-to-linus_24.png,FAKE,biden-to-linus
biden-to-linus_25.png,FAKE,biden-to-linus
biden-to-linus_26.png,FAKE,biden-to-linus
biden-to-linus_27.png,FAKE,biden-to-linus
biden-to-linus_28.png,FAKE,biden-to-linus
biden-to-linus_29.png,FAKE,biden-to-linus
biden-to-linus_30.png,FAKE,biden-to-linus
biden-to-linus_31.png,FAKE,biden-to-linus
biden-to-linus_32.png,FAKE,biden-to-linus
biden-to-linus_33.png,FAKE,biden-to-linus
biden-to-linus_34.png,FAKE,biden-to-linus
biden-to-linus_35.png,FAKE,biden-to-linus
biden-to-linus_36.png,FAKE,biden-to-linus
biden-to-linus_37.png,FAKE,biden-to-linus
biden-to-linus_38.png,FAKE,biden-to-linus
biden-to-linus_39.png,FAKE,biden-to-linus
biden-to-linus_40.png,FAKE,biden-to-linus
biden-to-linus_41.png,FAKE,biden-to-linus
biden-to-linus_42.png,FAKE,biden-to-linus
biden-to-linus_43.png,FAKE,biden-to-linus
biden-to-linus_44.png,FAKE,biden-to-linus
biden-to-linus_45.png,FAKE,biden-to-linus
biden-to-linus_46.png,FAKE,biden-to-linus
biden-to-linus_47.png,FAKE,biden-to-linus
biden-to-linus_48.png,FAKE,biden-to-linus
biden-to-linus_49.png,FAKE,biden-to-linus
biden-to-linus_50.png,FAKE,biden-to-linus
biden-to-linus_51.png,FAKE,biden-to-linus
biden-to-linus_52.png,FAKE,biden-to-linus
biden-to-linus_53.png,FAKE,biden-to-linus
biden-to-linus_54.png,FAKE,biden-to-linus
biden-to-linus_55.png,FAKE,biden-to-linus
biden-to-linus_56.png,FAKE,biden-to-linus
biden-to-linus_57.png,FAKE,biden-to-linus
biden-to-linus_58.png,FAKE,biden-to-linus
biden-to-linus_59.png,FAKE,biden-to-linus
biden-to-linus_60.png,FAKE,biden-to-linus
biden-to-linus_61.png,FAKE,biden-to-linus
biden-to-linus_62.png,FAKE,biden-to-linus
biden-to-linus_63.png,FAKE,biden-to-linus
biden-to-linus_64.png,FAKE,biden-to-linus
biden-to-linus_65.png,FAKE,biden-to-linus
biden-to-linus_66.png,FAKE,biden-to-linus
biden-to-linus_67.png,FAKE,biden-to-linus
biden-to-linus_68.png,FAKE,biden-to-linus
biden-to-linus_69.png,FAKE,biden-to-linus
biden-to-linus_70.png,FAKE,biden-to-linus
biden-to-linus_71.png,FAKE,biden-to-linus
biden-to-linus_72.png,FAKE,biden-to-linus
biden-to-linus_73.png,FAKE,biden-to-linus
biden-to-linus_74.png,FAKE,biden-to-linus
biden-to-linus_75.png,FAKE,biden-to-linus
biden-to-linus_76.png,FAKE,biden-to-linus
biden-to-linus_77.png,FAKE,biden-to-linus
biden-to-linus_78.png,FAKE,biden-to-linus
biden-to-linus_79.png,FAKE,biden-to-linus
biden-to-linus_80.png,FAKE,biden-to-linus
biden-to-linus_81.png,FAKE,biden-to-linus
biden-to-linus_82.png,FAKE,biden-to-linus
biden-to-linus_83.png,FAKE,biden-to-linus
biden-to-linus_84.png,FAKE,biden-to-linus
biden-to-linus_85.png,FAKE,biden-to-linus
biden-to-linus_86.png,FAKE,biden-to-linus
biden-to-linus_87.png,FAKE,biden-to-linus
biden-to-linus_88.png,FAKE,biden-to-linus
biden-to-linus_89.png,FAKE,biden-to-linus
biden-to-linus_90.png,FAKE,biden-to-linus
biden-to-linus_91.png,FAKE,biden-to-linus
biden-to-linus_92.png,FAKE,biden-to-linus
biden-to-linus_93.png,FAKE,biden-to-linus
biden-to-linus_94.png,FAKE,biden-to-linus
biden-to-linus_95.png,FAKE,biden-to-linus
biden-to-linus_96.png,FAKE,biden-to-linus
biden-to-linus_97.png,FAKE,biden-to-linus
biden-to-linus_98.png,FAKE,biden-to-linus
biden-to-linus_99.png,FAKE,biden-to-linus
biden-to-linus_100.png,FAKE,biden-to-linus
biden-to-linus_101.png,FAKE,biden-to-linus
biden-to-linus_102.png,FAKE,biden-to-linus
biden-to-linus_103.png,FAKE,biden-to-linus
biden-to-linus_104.png,FAKE,biden-to-linus
biden-to-linus_105.png,FAKE,biden-to-linus
biden-to-linus_106.png,FAKE,biden-to-linus
biden-to-linus_107.png,FAKE,biden-to-linus
biden-to-linus_108.png,FAKE,biden-to-linus
biden-to-linus_109.png,FAKE,biden-to-linus
biden-to-linus_110.png,FAKE,biden-to-linus
biden-to-linus_111.png,FAKE,biden-to-linus
biden-to-linus_112.png,FAKE,biden-to-linus
biden-to-linus_113.png,FAKE,biden-to-linus
biden-to-linus_114.png,FAKE,biden-to-linus
biden-to-linus_115.png,FAKE,biden-to-linus
biden-to-linus_116.png,FAKE,biden-to-linus
biden-to-linus_117.png,FAKE,biden-to-linus
biden-to-linus_118.png,FAKE,biden-to-linus
biden-to-linus_119.png,FAKE,biden-to-linus
biden-to-linus_120.png,FAKE,biden-to-linus
biden-to-linus_121.png,FAKE,biden-to-linus
biden-to-linus_122.png,FAKE,biden-to-linus
biden-to-linus_123.png,FAKE,biden-to-linus
biden-to-linus_124.png,FAKE,biden-to-linus
biden-to-linus_125.png,FAKE,biden-to-linus
biden-to-linus_126.png,FAKE,biden-to-linus
biden-to-linus_127.png,FAKE,biden-to-linus
biden-to-linus_128.png,FAKE,biden-to-linus
biden-to-linus_129.png,FAKE,biden-to-linus
biden-to-linus_130.png,FAKE,biden-to-linus
biden-to-linus_131.png,FAKE,biden-to-linus
biden-to-linus_132.png,FAKE,biden-to-linus
biden-to-linus_133.png,FAKE,biden-to-linus
biden-to-linus_134.png,FAKE,biden-to-linus
biden-to-linus_135.png,FAKE,biden-to-linus
biden-to-linus_136.png,FAKE,biden-to-linus
biden-to-linus_137.png,FAKE,biden-to-linus
biden-to-linus_138.png,FAKE,biden-to-linus
biden-to-linus_139.png,FAKE,biden-to-linus
biden-to-linus_140.png,FAKE,biden-to-linus
biden-to-linus_141.png,FAKE,biden-to-linus
biden-to-linus_142.png,FAKE,biden-to-linus
biden-to-linus_143.png,FAKE,biden-to-linus
biden-to-linus_144.png,FAKE,biden-to-linus
biden-to-linus_145.png,FAKE,biden-to-linus
biden-to-linus_146.png,FAKE,biden-to-linus
biden-to-linus_147.png,FAKE,biden-to-linus
biden-to-linus_148.png,FAKE,biden-to-linus
